frameIndex,coord,centroid,right_base
2100,"[(27.883245, 238.50232), (96.293686, 259.9159), (19.35515, 13.114969), (104.81948, 203.83638), (144.04472, 224.31491), (57.300247, 300.25476), (139.0361, 329.64835), (152.64749, 212.852), (345.80347, 255.79527)]","(120.79817644444445, 226.4705398888889)",0
2550,"[(20.278936, 187.53001), (78.52798, 163.35275), (81.29666, 223.48065), (118.778366, 103.033516), (175.8278, 92.8081), (385.38577, 121.39215), (28.024658, 117.92667), (25.411198, 155.75606), (13.400694, 9.995818)]","(102.99245133333335, 130.58619155555553)",1
8340,"[(13.14389, 14.70475), (22.614042, 236.70204), (114.07421, 310.7212), (34.346256, 297.45523), (128.41171, 159.09131), (85.30298, 185.08267), (315.3887, 251.01332), (90.009964, 251.99629), (164.30177, 230.60837)]","(107.51039133333333, 215.2639088888889)",0
10680,"[(171.15114, 226.42403), (22.359276, 178.69594), (38.023144, 115.632935), (144.5914, 173.05539), (80.317726, 159.1742), (336.35898, 194.28374), (80.84747, 212.03024), (125.43825, 96.91343)]","(124.88592325, 169.52623812500002)",1
16890,"[(73.13793, 236.91943), (203.86505, 9.159766), (285.6242, 394.87552), (174.88211, 269.13184), (91.70132, 192.3054), (202.2977, 132.4832), (22.994862, 187.8199), (128.24222, 90.05687)]","(147.843174, 189.09399075)",1
19380,"[(26.70209, 176.43164), (109.34555, 144.30049), (115.753426, 115.01006), (362.54208, 146.07573), (214.20041, 123.15287), (201.30853, 6.200984), (30.126833, 118.065285), (86.37715, 224.49869), (77.51903, 156.23303)]","(135.9861221111111, 134.44097544444446)",1
23550,"[(128.89577, 156.44992), (40.046337, 301.33765), (167.69284, 231.11943), (91.55915, 238.42844), (100.6865, 175.80447), (12.945265, 13.327313), (23.461796, 240.34688), (112.659004, 311.51886), (325.0696, 240.1549)]","(111.44625133333332, 212.054207)",0
33210,"[(25.0962, 221.72507), (6.2888975, 22.638233), (75.237076, 294.8804), (102.777405, 237.5653), (153.30136, 239.55832), (156.79865, 297.7915), (131.92924, 237.09541), (58.825726, 380.68097), (400.11865, 199.31145)]","(123.37480050000002, 236.8051836666667)",0
36810,"[(164.51605, 5.3944626), (385.17545, 99.141075), (115.29852, 103.07532), (175.58846, 95.27618), (95.30608, 224.89325), (79.69497, 151.55966), (20.171654, 179.49277), (110.7371, 131.83113), (48.912106, 119.66059)]","(132.82226555555556, 123.36938195555555)",1
45510,"[(29.72083, 246.97966), (25.681818, 306.43057), (98.29294, 178.9521), (71.690384, 195.14018), (20.814304, 17.15429), (68.54532, 252.64038), (331.38193, 250.5054), (111.298935, 311.80853), (26.726799, 238.71489)]","(87.12814, 222.0362222222222)",0
