frameIndex,coord,centroid
0,"[(164.74947, 281.9643), (349.99036, 258.59995), (122.49165, 166.79637), (81.47873, 302.66608), (24.097637, 228.8801), (209.56284, 98.86959), (115.3846, 393.30524), (86.841225, 169.06857), (39.887276, 16.06989), (126.24035, 199.99971)]","(132.0724138, 211.62197999999998)"
1,"[(164.68675, 281.51385), (348.62955, 259.38785), (121.71569, 165.39317), (80.40091, 301.8294), (24.245794, 228.96886), (209.73238, 98.71516), (115.93947, 393.22543), (86.22193, 169.51068), (40.245502, 16.653963), (127.3694, 200.25438)]","(131.9187376, 211.5452743)"
2,"[(164.93765, 281.8928), (348.41394, 259.48547), (121.61376, 164.31366), (80.33958, 301.697), (24.234026, 228.97627), (209.90579, 97.963135), (116.23546, 393.04276), (86.00391, 170.32755), (40.639473, 17.195621), (128.44681, 200.9694)]","(132.0770399, 211.58636660000002)"
3,"[(164.86041, 281.7202), (348.03375, 259.38034), (122.21131, 164.12129), (80.71728, 301.83206), (24.186304, 228.89694), (209.94504, 97.09883), (116.41121, 392.74985), (86.24384, 171.77426), (40.75505, 17.458138), (128.26376, 199.56197)]","(132.1627954, 211.45938779999997)"
4,"[(165.37181, 282.07745), (347.18353, 260.11664), (123.531395, 164.4404), (80.81531, 301.6532), (24.651854, 229.18135), (210.46867, 96.891975), (116.87514, 392.42072), (86.40883, 172.4335), (40.820118, 17.068228), (127.99918, 197.39093)]","(132.4125837, 211.36743930000003)"
5,"[(166.3098, 281.99353), (344.77695, 257.3667), (124.09674, 163.97032), (80.64708, 301.2501), (25.458384, 229.12415), (210.6108, 96.43227), (118.32284, 392.21167), (84.80124, 171.40671), (41.045113, 17.11511), (129.85281, 197.61801)]","(132.5921757, 210.848857)"
6,"[(167.34665, 281.24173), (340.9073, 256.18414), (124.47911, 163.04382), (80.61742, 301.3009), (24.884583, 227.24034), (210.6517, 94.00842), (119.98855, 392.2375), (83.276054, 170.75427), (41.157284, 17.152504), (131.82393, 196.60262)]","(132.51325809999997, 209.9766244)"
7,"[(168.58044, 280.09644), (340.4579, 255.48058), (125.010605, 162.83652), (80.60356, 301.3681), (24.227327, 225.32347), (210.43332, 90.58074), (121.82524, 392.27576), (82.31834, 171.44847), (41.35792, 17.08404), (133.2304, 195.72105)]","(132.80450519999997, 209.221517)"
8,"[(170.11642, 279.03076), (340.6546, 255.21819), (125.11317, 162.19388), (81.73592, 302.28238), (24.492935, 224.25499), (211.06552, 87.960846), (124.10711, 392.53854), (80.31326, 171.80893), (41.408604, 16.815477), (134.32568, 194.91125)]","(133.33332189999996, 208.7015243)"
9,"[(171.81093, 277.89676), (339.99832, 255.64378), (125.182205, 162.11629), (87.33747, 306.66635), (24.79807, 223.67053), (211.8132, 84.87675), (125.74689, 392.2457), (78.86184, 172.64403), (41.411423, 16.634579), (134.89615, 194.42007)]","(134.18564980000002, 208.68148389999996)"
